admin;3;Marcin;Luczyk;email@email.com;12321
admin;4;Lolek;Swidnicki;email@email.com;12321
student;8;Tomek;Kucharski;email@email.com;12321;a
student;9;Jan;Kowalski;email@email.com;12321;a
student;12;Ludwik;Luczyk;email@email.com;12321;d
student;14;Rysiu;Swidnicki;email@email.com;12321;a
mentor;19;Jan;Sitak;email@email.com;12322;A
mentor;16;Piotr;Sito;email@email.com;12321;C
mentor;1;Mietek;Koniuszy;email@email.com;123;a
mentor;2;Magda;Zmyslona;email@email.com;magda;0
mentor;20;Maciek;Bialy;email@email.com;aaa;Z
mentor;22;Jarek;Stach;email@email.com;12321;1
